VideoID,ParticipantID,FileName,Duration (s),Text,Emotion,Sentiment
100001,100001,emotion 1 - neutral - audio,7,"Шәке, кешіріңізші енді. Кішкене қол тимей кетті. Күйеу балам дайын негізі. Ол уже халықтың қамын ойлап жүр.",neutral,neutral
100002,100002,emotion 2 - surprise - audio,7,Үй алып беремін?,surprise,positive
100003,100002,emotion 3 - joy - audio,6,"Рақмет аға. Бірақ, бар ғой, Құдайдың өзі жіберген сізді маған.",joy,positive
100004,100003,emotion 4 - anger - audio,3,"Сенің басың жасай ма? Немене бүлдіріп жүресің, ей?",anger,negative
100005,100004,emotion 5 - disgust - audio,2,Аттың иісі шығып кетті ғой мына жерде.,disgust,negative
100006,100005,emotion 6 - neutral (neg) - audio,7,"Жалғыз өзінің шамасы жетпеген соң, екеулеп жабылайын деп екен ғой",neutral,negative
100007,100005,emotion 7 - surprise - audio,4,Ойбай. Менімен ақылдасайын деп пе ең?,surprise,negative
100008,100006,emotion 8 - surprise - audio,3,Мынаған не болған?,surprise,negative
100009,100001,emotion 9 - joy - audio,6,"Әй, жаман бала. Міне енді түсіндің!",joy,positive
100010,100010,emotion 10 - sadness - audio,7,"Кешіріңіз, бірақ маған толық айлықты бере аласыз ба? Әйтпесе квартирадан шығарып жібереді.",sadness,negative
100011,100007,emotion 11 - audio,4,"Менің ойымша,алдағы уақытта ақын да, композитор да, ешкім керек емес.",neutral,neutral
100012,100008,emotion 12 - audio,10,"Кимононы саған подаркы жасайды. Ұнап жатса киесің жарысқа, ұнамаса досым ретінде саған, тренировакаға, бірдеңеге киіп  тастайсың ертең.",neutral,neutral
100013,100009,emotion 13 - audio,4,Өзіңде осы жеңістен кейін жұлдыз ауруы болды ма?,neutral,neutral
100014,100008,emotion 14 - audio,8,"Ол кезде андай бір алманы футболканың ішіне салып аламыз да, садқа кіріп кеткенбіз ғой. Көк алма ұрлап жүретінбіз сол кезде!",joy,positive
100015,100007,emotion 15 - audio,8,"Жалпы тағы бір ақпарат бар екен, мектепте кезінде диктанттан бір деген баға алыпсыз.",neutral,neutral
100016,100011,emotion 16 - disgust - audio,3,Анау сасық аға.,disgust,negative
100017,100012,emotion 17 - anger (?) - audio,8,"Не өзіңді дофига умный санайсың ба? Келіп алады ауылдан, необразованный, жұмыс іздеп.",disgust,negative
100018,100010,emotion 18 - fear - no text - audio,5,,fear,negative
100019,100013,emotion 19 - anger - audio,2,"И вообще, неге мен іздеуім керек няняны?",anger,negative
100020,100014,emotion 20 - neutral neg (?) - audio,3,Давай жылдамдат сен тезірек. Давай тезірет.,neutral,negative
100021,100013,emotion 21 - disgust (?) - audio,4,"Уф, кетті. Онда мен де кеттім.",disgust,negative
